kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows
low,2025-04-17 15:59:59.999000+00:00,2025-04-10 15:59:59.999000+00:00,78559.0,46,42,1928.1473214285709,6270.399999999994,5936.5,close,forced_maturity,INITIAL_LOW,False,,3,3,0,False,"6,18,42"
low,2025-05-07 15:59:59.999000+00:00,2025-04-30 15:59:59.999000+00:00,92848.1,166,42,1392.7215,4598.699999999997,4040.899999999994,close,forced_maturity,HL,False,78559.0,4,4,0,False,"6,18,42,60"
low,2025-05-22 15:59:59.999000+00:00,2025-05-15 15:59:59.999000+00:00,101270.8,256,42,1690.876488095239,10311.699999999997,9979.800000000003,close,forced_maturity,HL,False,92848.1,3,3,0,False,"6,18,42"
low,2025-06-08 23:59:59.999000+00:00,2025-06-05 23:59:59.999000+00:00,100305.1,384,18,1504.5765000000001,6177.5,5371.399999999994,close,confluence,LL,True,101270.8,5,5,0,False,"6,18,42,60,180"
low,2025-06-25 23:59:59.999000+00:00,2025-06-22 23:59:59.999000+00:00,98115.4,486,18,1539.7366071428567,9850.5,9164.600000000006,close,confluence,LL,True,100305.1,5,5,0,False,"6,18,42,60,180"
low,2025-08-09 19:59:59.999000+00:00,2025-08-02 19:59:59.999000+00:00,111910.0,731,42,1678.6499999999999,4990.899999999994,4589.899999999994,close,forced_maturity,HL,False,98115.4,4,4,0,False,"6,18,42,60"
low,2025-08-29 03:59:59.999000+00:00,2025-08-26 03:59:59.999000+00:00,108559.7,871,18,1628.3954999999999,4026.0,3088.9000000000087,close,confluence,LL,True,111910.0,5,5,0,False,"6,18,42,60,180"
low,2025-09-13 19:59:59.999000+00:00,2025-09-06 19:59:59.999000+00:00,109850.0,941,42,1647.75,5930.300000000003,5901.399999999994,close,forced_maturity,HL,False,108559.7,4,4,0,False,"6,18,42,60"
low,2025-09-28 19:59:59.999000+00:00,2025-09-25 19:59:59.999000+00:00,108574.1,1055,18,1628.6115,1775.8999999999942,1707.5,close,confluence,LL,True,109850.0,4,4,0,False,"6,18,42,60"
low,2025-10-13 23:59:59.999000+00:00,2025-10-10 23:59:59.999000+00:00,101516.5,1146,18,1998.741071428571,14300.899999999994,13595.399999999994,close,confluence,LL,True,108574.1,6,5,1,True,"6,18,42,60,180,540"
low,2025-10-29 11:59:59.999000+00:00,2025-10-22 11:59:59.999000+00:00,106360.3,1215,42,1752.0907738095239,7221.399999999994,6724.199999999997,close,forced_maturity,HL,False,101516.5,4,4,0,False,"6,18,42,60"
low,2025-11-10 15:59:59.999000+00:00,2025-11-07 15:59:59.999000+00:00,99200.0,1312,18,1857.569940476189,7366.699999999997,5828.899999999994,close,confluence,LL,True,106360.3,6,5,1,True,"6,18,42,60,180,540"
low,2025-11-24 15:59:59.999000+00:00,2025-11-21 15:59:59.999000+00:00,80600.0,1396,18,2181.5000000000005,6100.0,5971.0,close,confluence,LL,True,99200.0,7,5,2,True,"6,18,42,60,180,540,1080"
low,2025-12-25 19:59:59.999000+00:00,2025-12-18 19:59:59.999000+00:00,84429.9,1559,42,1396.3303571428564,4021.7000000000116,3682.4000000000087,close,forced_maturity,HL,False,80600.0,4,4,0,False,"6,18,42,60"
low,2026-01-16 11:59:59.999000+00:00,2026-01-09 11:59:59.999000+00:00,89632.8,1689,42,1344.492,6172.199999999997,5749.800000000003,close,forced_maturity,HL,False,84429.9,4,4,0,False,"6,18,42,60"
low,2026-01-24 19:59:59.999000+00:00,2026-01-21 19:59:59.999000+00:00,87205.5,1763,18,1308.0825,2219.699999999997,2080.5,close,confluence,LL,True,89632.8,4,4,0,False,"6,18,42,60"
low,2026-02-09 03:59:59.999000+00:00,2026-02-06 03:59:59.999000+00:00,59800.0,1855,18,2277.0148809523803,11634.899999999994,11469.899999999994,close,confluence,LL,True,87205.5,9,5,4,True,"6,18,42,60,180,540,1080,1800,2190"
low,2026-03-03 15:59:59.999000+00:00,2026-02-24 15:59:59.999000+00:00,62401.7,1966,42,1511.7142857142858,5598.300000000003,5290.800000000003,close,forced_maturity,HL,False,59800.0,4,4,0,False,"6,18,42,60"
low,2026-03-15 23:59:59.999000+00:00,2026-03-08 23:59:59.999000+00:00,65569.2,2040,42,1527.8645833333328,7630.699999999997,7209.699999999997,close,forced_maturity,HL,False,62401.7,4,4,0,False,"6,18,42,60"
low,2026-04-01 23:59:59.999000+00:00,2026-03-29 23:59:59.999000+00:00,64918.2,2166,18,1292.4925595238092,3592.4000000000087,3168.300000000003,close,confluence,LL,True,65569.2,5,5,0,False,"6,18,42,60,180"
