symbol,total_trades,wins,losses,win_rate,total_pnl,avg_pnl,profit_factor,avg_hold_hours,short_trades,short_wins,short_pnl,long_trades,long_wins,long_pnl,tp_exits,sl_exits,timeout_exits,unfilled
NEAR/USDT,2,2,0,1.0,8.0,4.0,inf,3.41,0,0,0.0,2,2,8.0,2,0,0,0
ENA/USDT,2,2,0,1.0,8.0,4.0,inf,3.16,0,0,0.0,2,2,8.0,2,0,0,0
INJ/USDT,1,1,0,1.0,4.0,4.0,inf,4.83,0,0,0.0,1,1,4.0,1,0,0,0
RENDER/USDT,1,1,0,1.0,4.0,4.0,inf,5.33,0,0,0.0,1,1,4.0,1,0,0,0
LINK/USDT,1,1,0,1.0,4.0,4.0,inf,4.83,0,0,0.0,1,1,4.0,1,0,0,0
ALGO/USDT,1,1,0,1.0,4.0,4.0,inf,5.41,0,0,0.0,1,1,4.0,1,0,0,0
SOL/USDT,2,1,1,0.5,2.0,1.0,2.0,4.16,0,0,0.0,2,1,2.0,1,1,0,0
ETH/USDT,2,1,1,0.5,2.0,1.0,2.0,5.16,0,0,0.0,2,1,2.0,1,1,0,0
XRP/USDT,1,0,1,0.0,-2.0,-2.0,0.0,6.16,0,0,0.0,1,0,-2.0,0,1,0,0
